time_s,enc_speed_cm_s,cmd_speed_cm_s
3.950547456741333,50.704,50.0
3.9705348014831543,51.501,50.0
3.992439031600952,50.4,50.0
4.014414310455322,52.746,50.0
4.03641152381897,51.49,50.0
4.0554518699646,52.47,50.0
4.077419996261597,51.037,50.0
4.097423791885376,50.946,50.0
4.119539976119995,50.0,50.0
4.139478445053101,52.117,50.0
4.15955114364624,52.911,50.0
4.180442810058594,51.386,50.0
4.20000147819519,51.875,50.0
4.221546411514282,50.475,50.0
4.243540525436401,49.853,50.0
4.265425205230713,50.0,50.0
4.286474704742432,50.089,50.0
4.306541442871094,51.253,50.0
4.328525066375732,51.205,50.0
4.350522994995117,51.2,50.0
4.372533559799194,50.122,50.0
4.394543409347534,50.897,50.0
4.416482448577881,50.414,50.0
4.4384684562683105,50.683,50.0
4.458528518676758,50.0,50.0
4.480422019958496,49.4,50.0
4.500000476837158,50.951,50.0
4.522462606430054,50.827,50.0
4.543448448181152,51.271,50.0
4.565425872802734,50.506,50.0
4.587448835372925,51.407,50.0
4.6095147132873535,50.847,50.0
4.631474733352661,51.531,50.0
4.653425693511963,50.0,50.0
4.6734278202056885,50.214,50.0
4.695421934127808,51.346,50.0
4.715447902679443,50.885,50.0
4.737402677536011,50.587,50.0
4.757417678833008,50.558,50.0
4.777419090270996,50.414,50.0
4.79746413230896,51.217,50.0
4.82042670249939,50.152,50.0
4.842472076416016,50.905,50.0
4.86342191696167,49.584,50.0
4.885420799255371,51.21,50.0
4.9064154624938965,50.449,50.0
4.929522514343262,50.359,50.0
4.949445724487305,50.0,50.0
4.971550941467285,50.234,50.0
4.993407964706421,50.704,50.0
