image,charuco_id,observed_u,observed_v,projected_u,projected_v,error_px
images/frame_014.png,27,1112.233643,1016.286316,1112.086670,1016.314453,0.149642
images/frame_014.png,28,661.417480,1044.273438,661.345215,1044.385376,0.133239
images/frame_014.png,29,736.829529,1044.168701,737.496948,1044.297852,0.679800
images/frame_014.png,30,814.137512,1044.157593,813.797974,1044.210327,0.343609
images/frame_014.png,31,890.013367,1044.381104,890.248596,1044.122437,0.349631
images/frame_014.png,32,966.932312,1043.737549,966.849426,1044.034546,0.308346
images/frame_014.png,33,1043.856567,1043.920532,1043.600708,1043.946411,0.257165
images/frame_014.png,34,1120.083984,1044.246216,1120.503174,1043.858032,0.571320
images/frame_015.png,2,841.094482,949.582458,840.784973,949.395691,0.361494
images/frame_015.png,3,903.507568,949.111755,903.302368,949.247864,0.246237
images/frame_015.png,8,770.179810,970.044250,769.613281,969.839539,0.602380
images/frame_015.png,11,965.729614,969.262329,966.119019,969.426086,0.422436
images/frame_015.png,12,1031.731079,969.142700,1031.841431,969.287842,0.182328
images/frame_015.png,13,1097.680664,969.468933,1097.674561,969.149353,0.319638
images/frame_015.png,18,966.219299,991.975342,966.338013,991.795654,0.215361
images/frame_015.png,19,1035.475830,991.823059,1035.366821,991.670166,0.187774
images/frame_015.png,20,1103.912109,991.073120,1104.517822,991.544495,0.767517
images/frame_015.png,24,894.263000,1016.608276,894.029663,1016.641663,0.235714
images/frame_015.png,25,966.400024,1016.577576,966.580200,1016.532776,0.185662
images/frame_015.png,26,1039.220703,1016.733948,1039.265747,1016.423706,0.313495
images/frame_015.png,27,1112.122314,1016.255066,1112.086670,1016.314453,0.069263
images/frame_015.png,30,814.073853,1044.127319,813.797974,1044.210327,0.288096
images/frame_015.png,31,889.584106,1044.351440,890.248596,1044.122437,0.702844
images/frame_015.png,32,966.874817,1043.873535,966.849426,1044.034546,0.163000
images/frame_015.png,33,1043.791016,1043.847656,1043.600708,1043.946411,0.214405
images/frame_015.png,34,1120.095825,1044.186279,1120.503174,1043.858032,0.523143
images/frame_016.png,17,896.749207,991.925659,897.430969,991.920837,0.681780
images/frame_016.png,18,966.150757,991.979980,966.338013,991.795654,0.262756
images/frame_016.png,19,1035.313477,991.879761,1035.366821,991.670166,0.216277
images/frame_016.png,20,1104.070923,991.064697,1104.517822,991.544495,0.655686
images/frame_016.png,24,894.246460,1016.729736,894.029663,1016.641663,0.234004
images/frame_016.png,25,966.337219,1016.609802,966.580200,1016.532776,0.254898
images/frame_016.png,26,1039.058960,1016.672607,1039.265747,1016.423706,0.323594
images/frame_016.png,27,1112.307617,1016.317932,1112.086670,1016.314453,0.220975
images/frame_016.png,30,814.069702,1044.114502,813.797974,1044.210327,0.288130
images/frame_016.png,31,890.021912,1044.438843,890.248596,1044.122437,0.389228
images/frame_016.png,32,966.922302,1043.882690,966.849426,1044.034546,0.168437
images/frame_016.png,33,1043.944946,1043.889160,1043.600708,1043.946411,0.348967
images/frame_016.png,34,1120.152100,1044.255371,1120.503174,1043.858032,0.530218
images/frame_017.png,8,770.095215,970.043274,769.613281,969.839539,0.523229
images/frame_017.png,11,965.646484,969.251831,966.119019,969.426086,0.503640
images/frame_017.png,14,691.756836,992.875305,691.437683,992.295227,0.662079
images/frame_017.png,19,1035.453003,991.824890,1035.366821,991.670166,0.177107
images/frame_017.png,20,1104.012817,991.055603,1104.517822,991.544495,0.702883
images/frame_017.png,26,1038.961548,1016.723694,1039.265747,1016.423706,0.427235
images/frame_017.png,27,1112.286011,1016.144836,1112.086670,1016.314453,0.261738
images/frame_017.png,30,814.134155,1044.165283,813.797974,1044.210327,0.339186
images/frame_017.png,31,889.683838,1044.357422,890.248596,1044.122437,0.611694
images/frame_017.png,32,966.892822,1043.932861,966.849426,1044.034546,0.110558
images/frame_017.png,33,1043.883911,1043.850098,1043.600708,1043.946411,0.299133
images/frame_017.png,34,1120.226074,1044.193970,1120.503174,1043.858032,0.435475
images/frame_018.png,2,841.151794,949.520813,840.784973,949.395691,0.387574
images/frame_018.png,3,903.694092,949.044800,903.302368,949.247864,0.441228
images/frame_018.png,8,770.068237,970.149597,769.613281,969.839539,0.550565
